ID,Current_Utilization_Rate,Minimum_Payment_Flag,Days_Since_Last_Payment_Proxy,Risk_Score
8942,0.4427478260869565,1,0,0.13256889530154925
17619,0.0615875,0,-1,0.1949738599030021
27896,1.5,1,0,0.19382146594858216
16104,0.3305,0,-1,0.21369890096774327
4423,0.2195181818181818,1,0,0.12194977166022085
3834,0.0439923076923076,0,-1,0.19379309515523832
26190,0.005164,0,-1,0.1912066759106594
25055,0.913,1,0,0.15750430629590734
23469,0.33966,1,1,0.31643879052560364
11872,0.9449125,1,0,0.1593275126175732
4907,0.0,0,-2,0.06934303430315072
29235,0.2427,1,0,0.12301750083573632
6860,0.26127,1,0,0.12387860362635152
9858,0.8111571428571429,1,2,0.6420536180969146
6974,1.0778,1,1,0.38844099962015094
15111,0.9103,1,1,0.3715322208293224
14304,0.32995,1,0,0.12710840853547872
23989,0.10015,1,0,0.11657746999368565
29541,0.9649,1,0,0.16047811499622613
23150,0.0067,0,-1,0.1913084888159847
16871,1.0261363636363636,1,1,0.3831948325568099
19454,0.0,1,1,0.2858264110041178
17520,0.56955,1,0,0.13894324358147278
3007,0.9775,1,0,0.16120689586592127
4061,0.1390625,0,-1,0.2002377998500385
23202,0.1032625,0,-1,0.1977922778186912
14166,0.975352380952381,1,0,0.1610824893774887
22689,0.81338,1,2,0.6422725075173863
1421,0.03309,1,0,0.11365034878433398
3887,0.9980857142857142,1,0,0.1624033174646484
15162,0.67406,1,0,0.14438847148936199
20108,0.78592,1,0,0.15041197412323698
20239,0.8151,1,2,0.6424418388310482
23452,1.0117833333333333,1,2,0.6615621035856782
20325,0.4871944444444444,1,0,0.134774536740461
9001,0.95822,1,0,0.16009282755661924
24438,0.6283619047619048,1,0,0.14198597770985275
436,0.8694518518518518,1,1,0.36745421345671314
21358,0.97368,1,0,0.16098566603922382
25784,0.1348266666666666,0,-1,0.19994726905226468
18782,0.19199,1,1,0.30291235934660826
22399,0.3148105263157895,0,-1,0.21257132588068378
13731,0.0064,1,2,0.5595719045195633
2799,0.0,0,-2,0.06934303430315072
18445,0.9097,1,1,0.37147218657193104
1096,0.3651686567164179,1,0,0.12879237272215516
9340,0.4758,1,1,0.3291910479181545
18189,0.0995,1,0,0.11654878644967044
14969,0.0858,0,-1,0.19660759452786225
18906,0.0003535714285714,0,-2,0.0693528129939778
27940,0.0,1,1,0.2858264110041178
470,0.0684444444444444,0,-1,0.1954354844132208
27741,1.00102,1,0,0.16257443689516995
2752,0.0018194444444444,0,-1,0.1909851270491395
29188,0.9864111111111112,1,0,0.16172392470452188
25619,0.0293806451612903,0,-2,0.0701599777854216
27098,0.0159275862068965,0,-2,0.0697848101296538
11738,0.73618,1,0,0.14770839654561382
13354,0.0835214285714285,1,0,0.11584559994375766
23872,0.0,0,-2,0.06934303430315072
8023,0.1818,1,0,0.12022957252883708
8761,0.4665,1,0,0.13374375563075405
25706,0.2590906976744186,1,0,0.12377728057618263
13083,0.0147380952380952,0,-1,0.19184196448771998
22593,0.0,1,1,0.2858264110041178
27573,0.986502,1,0,0.16172920502886162
3085,0.002047619047619,0,-1,0.19100023547506184
12702,0.950615,1,0,0.159655099972516
7392,0.0019230769230769,0,-1,0.19099198888995442
